customer_id,customer_name,age,region,avg_rating,feedback_count,total_energy_usage
1,David Lee,69,West,5,1,45.1380882263184
2,Jessica Hernandez,25,East,1,1,31.3282508850098
3,Noah Robles,28,West,5,2,16.673900604248
4,Julie Hood,28,West,4,1,90.4650382995605
9,Mark Martin,61,South,1,1,40.2723417282104
12,Daniel Ware,49,West,4,1,26.803014755249
17,Heather Lopez,64,North,3,1,25.3384895324707
18,Nicole Williams,48,South,4,2,22.5287342071533
21,Dennis Roberts,62,East,4,1,19.9918518066406
25,Tammy Palmer,34,East,2,1,18.8505077362061
28,Connor Simpson,30,North,4,3,48.6166496276855
31,Joshua Moran,43,South,4,1,72.2015800476074
35,Thomas Alexander,44,East,2,3,20.4136371612549
36,Nathan Mendoza,44,West,1,2,37.0175628662109
37,Cynthia Griffith,39,East,3,2,19.221321105957
41,Amanda Simmons,34,East,4,2,24.0924663543701
45,Ryan Turner,48,West,2.5,2,44.5973320007324
46,Christopher Sullivan,60,East,2,1,35.5967483520508
49,Timothy Allen,59,East,3,2,13.9827632904053
5,Ashley Richardson,64,South,,,11.3288955688477
11,Michael Scott,31,South,,,25.794771194458
14,Dennis Fitzpatrick,37,West,,,24.6198444366455
15,Jennifer Brown,26,South,,,26.4558696746826
20,Eric Morris,42,North,,,43.6456069946289
23,Jasmine Mueller,38,South,,,12.0235242843628
27,Judy Page,41,South,,,30.3326187133789
32,Tamara Smith,60,West,,,46.1859092712402
33,Christopher Stewart,49,North,,,15.5989036560059
39,Debra Dawson,57,West,,,14.1145343780518
42,Jonathan Chen,57,South,,,36.3867378234863
43,Robert Ayala,56,East,,,32.0726509094238
44,Joe Novak,35,East,,,60.4756031036377
47,Mrs. Katie Lopez,36,West,,,24.1618671417236
3,Noah Robles,28,West,5,2,37.1701965332031
4,Julie Hood,28,West,4,1,13.8903970718384
12,Daniel Ware,49,West,4,1,38.6429824829102
41,Amanda Simmons,34,East,4,2,40.1502923965454
14,Dennis Fitzpatrick,37,West,,,76.6755199432373
15,Jennifer Brown,26,South,,,33.5386047363281
20,Eric Morris,42,North,,,13.6949558258057
23,Jasmine Mueller,38,South,,,34.7523422241211
33,Christopher Stewart,49,North,,,39.9667930603027
6,Garrett Mendoza,34,South,2.66666666666667,3,
8,Nicholas Ryan,46,North,3,1,
13,Kenneth Williams,49,North,1,1,
19,Austin Page,49,East,1,1,
22,Mrs. Amanda Francis,50,North,4.5,2,
26,Michael Solomon,45,East,1,1,
30,Julie Mullins,25,South,1,2,
34,Karen Stokes,54,East,3,3,
38,David Smith,64,West,2,1,
40,Jessica Alvarado,26,West,4.33333333333333,3,
48,Richard Best,53,West,5,1,
50,Edward Herring,25,East,3,1,
7,Cynthia Hernandez,44,South,,,
10,Rose Warren,48,South,,,
16,Alicia Harrison,63,East,,,
24,Cathy Garcia,33,West,,,
29,Wayne Wagner,40,West,,,
